Transcript Header,Name,Designation,Corp Name
Transcript Header,Name,Designation,Corp Name
ARVIND FASHIONS LTD (ARVINDFASN) Q4 FY23 Earnings Concall Transcript,Ankit Arora , Head of Investor Relations,ARVIND FASHIONS LTD 
ARVIND FASHIONS LTD (ARVINDFASN) Q4 FY23 Earnings Concall Transcript,Kulin Lalbhai , Vice Chairman and Non-Executive Director,ARVIND FASHIONS LTD 
ARVIND FASHIONS LTD (ARVINDFASN) Q4 FY23 Earnings Concall Transcript,Shailesh Chaturvedi , Managing Director and Chief Executive Officer,ARVIND FASHIONS LTD 
ARVIND FASHIONS LTD (ARVINDFASN) Q4 FY23 Earnings Concall Transcript,Girdhar Kumar Chitlangia , Chief Financial Officer,ARVIND FASHIONS LTD 
KRBL Limited (KRBL) Q4 FY23 Earnings Concall Transcript,Ashish Jain , Chief Financial Officer,KRBL Limited 
KRBL Limited (KRBL) Q4 FY23 Earnings Concall Transcript,Anoop Kumar Gupta , Joint Managing Director,KRBL Limited 
KRBL Limited (KRBL) Q4 FY23 Earnings Concall Transcript,Ayush Gupta ," Head, Domestic Division",KRBL Limited 
Oriental Aromatics Ltd (OAL) Q4 FY23 Earnings Concall Transcript,Anuj Sonpal , Chief Executive Officer,Oriental Aromatics Ltd 
Oriental Aromatics Ltd (OAL) Q4 FY23 Earnings Concall Transcript,Dharmil A. Bodani , Chairman and Managing Director,Oriental Aromatics Ltd 
Oriental Aromatics Ltd (OAL) Q4 FY23 Earnings Concall Transcript,Girish Khandelwal , Chief Financial Officer,Oriental Aromatics Ltd 
Oriental Aromatics Ltd (OAL) Q4 FY23 Earnings Concall Transcript,Parag Satoskar , Chief Executive Officer,Oriental Aromatics Ltd 
Ashiana Housing Limited (ASHIANA) Q4 FY23 Earnings Concall Transcript,Binay Sarda ," Assistant Vice President, Ernst & Young LLP",Ashiana Housing Limited 
Ashiana Housing Limited (ASHIANA) Q4 FY23 Earnings Concall Transcript,Vikash Dugar , Chief Financial Officer,Ashiana Housing Limited 
Ashiana Housing Limited (ASHIANA) Q4 FY23 Earnings Concall Transcript,Varun Gupta , Director,Ashiana Housing Limited 
Total Transport Systems Limited (TOTAL) Q4 FY23 Earnings Concall Transcript,Shrikant Nibandhe , Director,Total Transport Systems Limited 
Total Transport Systems Limited (TOTAL) Q4 FY23 Earnings Concall Transcript,Makarand Pradhan , Managing Director,Total Transport Systems Limited 
Total Transport Systems Limited (TOTAL) Q4 FY23 Earnings Concall Transcript,Nitin Phadke ," Vice President, Finance",Total Transport Systems Limited 
INDIAN METALS & FERRO ALLOYS LIMITED (IMFA) Q4 FY23 Earnings Concall Transcript,Aryan Rana , Moderator,INDIAN METALS & FERRO ALLOYS LIMITED 
INDIAN METALS & FERRO ALLOYS LIMITED (IMFA) Q4 FY23 Earnings Concall Transcript,Prem Khandelwal , Chief Financial Officer & Company Secretary,INDIAN METALS & FERRO ALLOYS LIMITED 
INDIAN METALS & FERRO ALLOYS LIMITED (IMFA) Q4 FY23 Earnings Concall Transcript,Deepak Mohanty , Head of Ferro Alloys Business Unit,INDIAN METALS & FERRO ALLOYS LIMITED 
INDIAN METALS & FERRO ALLOYS LIMITED (IMFA) Q4 FY23 Earnings Concall Transcript,Bijayananda Mohapatra , Chief Operating Officer,INDIAN METALS & FERRO ALLOYS LIMITED 
INDIAN METALS & FERRO ALLOYS LIMITED (IMFA) Q4 FY23 Earnings Concall Transcript,Binoy Agarwalla , Head of Power Business Unit,INDIAN METALS & FERRO ALLOYS LIMITED 
Indian Railway Catering and Tourism Corporation Ltd (IRCTC) Q4 FY23 Earnings Concall Transcript,Rajni Hasija , Chairman and Managing Director,Indian Railway Catering and Tourism Corporation Ltd 
Indian Railway Catering and Tourism Corporation Ltd (IRCTC) Q4 FY23 Earnings Concall Transcript,Ajit Kumar ," Director, Finance and Chief Financial Officer",Indian Railway Catering and Tourism Corporation Ltd 
Action Construction Equipment Limited (ACE) Q4 FY23 Earnings Concall Transcript,Rajan Luthra , Chief Financial Officer and Company Secretary,Action Construction Equipment Limited 
Action Construction Equipment Limited (ACE) Q4 FY23 Earnings Concall Transcript,Sorab Agarwal , Executive Director,Action Construction Equipment Limited 
NBCC India Ltd (NBCC) Q4 FY23 Earnings Concall Transcript,P.K. Gupta , Chairman-Cum-Managing Director,NBCC India Ltd 
Panama Petrochem Ltd. (PANAMAPET) Q4 FY23 Earnings Concall Transcript,Mahesh Narvekar ," Vice President, Corporate Relations",Panama Petrochem Ltd. 
Panama Petrochem Ltd. (PANAMAPET) Q4 FY23 Earnings Concall Transcript,Hussein Rayani , Joint Managing Director,Panama Petrochem Ltd. 
BCL Industries Ltd (BCLIND) Q4 FY23 Earnings Concall Transcript,Kushal Mittal,Joint Managing Director,BCL Industries Ltd 
Landmark Cars Ltd (LANDMARK) Q4 FY23 Earnings Concall Transcript,Sanjay Thakker,Chairman and Executive Director,Landmark Cars Ltd 
Landmark Cars Ltd (LANDMARK) Q4 FY23 Earnings Concall Transcript,Surendra Agarwal,Chief Financial Officer,Landmark Cars Ltd 
Welspun Corp Ltd (WELCORP) Q4 FY23 Earnings Concall Transcript,Salil Bawa,President – Group Investor Relations,Welspun Corp Ltd 
Welspun Corp Ltd (WELCORP) Q4 FY23 Earnings Concall Transcript,Vipul Mathur,"Managing Director and Chief Executive Officer, Board Member",Welspun Corp Ltd 
Welspun Corp Ltd (WELCORP) Q4 FY23 Earnings Concall Transcript,Percy Birdy,Chief Financial Officer,Welspun Corp Ltd 
V-Guard Industries Limited (VGUARD) Q4 FY23 Earnings Concall Transcript,Mithun Chittilappilly , Chairman and Managing Director,V-Guard Industries Limited 
V-Guard Industries Limited (VGUARD) Q4 FY23 Earnings Concall Transcript,Sudarshan Kasturi , Chief Financial Office,V-Guard Industries Limited 
V-Guard Industries Limited (VGUARD) Q4 FY23 Earnings Concall Transcript,Ramachandran Venkataraman , Director and Chief Operating Officer,V-Guard Industries Limited 
EID Parry (India) Ltd (EIDPARRY) Q4 FY23 Earnings Concall Transcript,Muthiah Murugappan , Whole time Director and Chief Executive Officer,EID Parry 
EID Parry (India) Ltd (EIDPARRY) Q4 FY23 Earnings Concall Transcript,S. Suresh , Managing Director,EID Parry 
EID Parry (India) Ltd (EIDPARRY) Q4 FY23 Earnings Concall Transcript,A. Sridhar , Chief Financial Officer,EID Parry 
GRP Limited (GRP) Q4 FY23 Earnings Concall Transcript,Harsh Gandhi , Joint Managing Director,GRP Limited 
GRP Limited (GRP) Q4 FY23 Earnings Concall Transcript,Shilpa Mehta , Chief Financial Officer,GRP Limited 
Punjab National Bank (PNB) Q4 FY23 Earnings Concall Transcript,Deepak Singh,DGM,Punjab National Bank 
Punjab National Bank (PNB) Q4 FY23 Earnings Concall Transcript,Atul Kumar Goel,Managing Director & Chief Executive Officer,Punjab National Bank 
JK Paper Ltd (JKPAPER) Q4 FY23 Earnings Concall Transcript,Ashok Gupta,"Senior Vice President, Finance & Accounts",JK Paper Ltd 
JK Paper Ltd (JKPAPER) Q4 FY23 Earnings Concall Transcript,KR Veerappan,Chief Financial Officer,JK Paper Ltd 
JK Paper Ltd (JKPAPER) Q4 FY23 Earnings Concall Transcript,A.S. Mehta,President & Director,JK Paper Ltd 
RAILTEL CORP OF INDIA LTD (RAILTEL) Q4 FY23 Earnings Concall Transcript,Sanjai Kumar,Chairman & Managing Director,RAILTEL CORP OF INDIA LTD 
RAILTEL CORP OF INDIA LTD (RAILTEL) Q4 FY23 Earnings Concall Transcript,H C Batra,"ED, Finance & Chief Investor Relation Officer",RAILTEL CORP OF INDIA LTD 
NGL FINE-CHEM LTD (NGLFINE) Q4 FY23 Earnings Concall Transcript,Rahul Nachane,Managing Director,NGL FINE-CHEM LTD 
Cosmo First Ltd (COSMOFIRST) Q4 FY23 Earnings Concall Transcript,Neeraj Jain,Senior Vice President and Chief Financial Officer,Cosmo First Ltd 
Cosmo First Ltd (COSMOFIRST) Q4 FY23 Earnings Concall Transcript,Pankaj Poddar,Group Chief Executive Officer,Cosmo First Ltd 
Tata Elxsi Ltd (TATAELXSI) Q4 FY23 Earnings Concall Transcript,Mr. Manoj Raghavan,Managing Director and CEO,Tata Elxsi Ltd 
Tata Elxsi Ltd (TATAELXSI) Q4 FY23 Earnings Concall Transcript,Mr. Gaurav Bajaj,Chief Financial Officer,Tata Elxsi Ltd 
Tata Elxsi Ltd (TATAELXSI) Q4 FY23 Earnings Concall Transcript,Mr. Nitin Pai,Chief Marketing and Chief Strategy Officer,Tata Elxsi Ltd 
Hester Biosciences Limited (HESTERBIO) Q4 FY23 Earnings Concall Transcript,Bimal Lalitsingh Goculdas,Chief Executive Officer,Hester Biosciences Limited 
AMI Organics Ltd (AMIORG) Q4 FY23 Earnings Concall Transcript,Bhavin Shah,Chief Financial Officer,AMI Organics Ltd 
AMI Organics Ltd (AMIORG) Q4 FY23 Earnings Concall Transcript,Nareshkumar Ramjibhai Patel,Executive Chairman & Managing Director,AMI Organics Ltd 
BSE Limited (BSE) Q4 FY23 Earnings Concall Transcript,Anand Sethuraman,"Head, Investor Relations",BSE Limited 
BSE Limited (BSE) Q4 FY23 Earnings Concall Transcript,Mr. Sundararaman Ramamurthy,Managing Director and CEO,BSE Limited 
BSE Limited (BSE) Q4 FY23 Earnings Concall Transcript,Mr. Nayan Mehta,Chief Financial Officer,BSE Limited 
Dr Lal PathLabs Ltd (LALPATHLAB) Q4 FY23 Earnings Concall Transcript,Hon. Brig. Dr. Arvind Lal,Executive Chairman,Dr Lal PathLabs Ltd 
Dr Lal PathLabs Ltd (LALPATHLAB) Q4 FY23 Earnings Concall Transcript,Om Prakash Manchanda,Managing Director,Dr Lal PathLabs Ltd 
Dr Lal PathLabs Ltd (LALPATHLAB) Q4 FY23 Earnings Concall Transcript,Ved Prakash Goel,Group Chief Financial Officer,Dr Lal PathLabs Ltd 
Dr Lal PathLabs Ltd (LALPATHLAB) Q4 FY23 Earnings Concall Transcript,Bharath Uppiliappan,Chief Executive Officer,Dr Lal PathLabs Ltd 
Dr Lal PathLabs Ltd (LALPATHLAB) Q4 FY23 Earnings Concall Transcript,Shankha Banerjee,Chief Executive Officer of Suburban and Other Group,Dr Lal PathLabs Ltd 
MAS Financial Services Ltd (MASFIN) Q4 FY23 Earnings Concall Transcript,Kamlesh Gandhi,MAS Financial Services Ltd,MAS Financial Services Ltd 
MAS Financial Services Ltd (MASFIN) Q4 FY23 Earnings Concall Transcript,Darshana Pandya,Director and CEO,MAS Financial Services Ltd 
MAS Financial Services Ltd (MASFIN) Q4 FY23 Earnings Concall Transcript,Ankit Jain,Chief Financial Officer,MAS Financial Services Ltd 
Dr. Reddy’s Laboratories (DRREDDY) Q4 FY23 Earnings Concall Transcript,Richa Periwal,Investor Relations,Dr. Reddy’s Laboratories 
Dr. Reddy’s Laboratories (DRREDDY) Q4 FY23 Earnings Concall Transcript,G V Prasad,Co-Chairman and Managing Director,Dr. Reddy’s Laboratories 
Dr. Reddy’s Laboratories (DRREDDY) Q4 FY23 Earnings Concall Transcript,Parag Agarwal,Chief Financial Officer,Dr. Reddy’s Laboratories 
Dr. Reddy’s Laboratories (DRREDDY) Q4 FY23 Earnings Concall Transcript,Erez Israeli,Chief Executive Officer,Dr. Reddy’s Laboratories 
Muthoot Finance Limited (MUTHOOTFIN) Q4 FY23 Earnings Concall Transcript,George Alexander Muthoot,Managing Director,Muthoot Finance Limited 
Muthoot Finance Limited (MUTHOOTFIN) Q4 FY23 Earnings Concall Transcript,Oommen K. Mammen,Chief Financial Officer,Muthoot Finance Limited 
Muthoot Finance Limited (MUTHOOTFIN) Q4 FY23 Earnings Concall Transcript,Unidentified Speaker,,Muthoot Finance Limited 
