ticker,exchange,Macro-Economic Sector,Sector,Industry,Basic Industry
LEMONTREE,NSE,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
ARVINDFASN,NSE,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
KRBL,NSE,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
ICIL,NSE,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
APOLLOHOSP,NSE,Healthcare,Healthcare,Healthcare Services,Hospital
OAL,NSE,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
ASHIANA,NSE,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
TOTAL,NSE,Services,Services,Transport Services,Logistics Solution Provider
DOLLAR,NSE,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
MANKIND,NSE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
IMFA,NSE,Commodities,Metals & Mining,Ferrous Metals,Ferro & Silica Manganese
IRCTC,NSE,Consumer Discretionary,Consumer Services,Leisure Services,Tour Travel Related Services
ACE,NSE,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Construction Vehicles
SCHAND,NSE,Consumer Discretionary,Media Entertainment & Publication,Printing & Publication,Printing & Publication
NBCC,NSE,Industrials,Construction,Construction,Civil Construction
PANAMAPET,NSE,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Lubricants
BCLIND,NSE,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
POWERMECH,NSE,Industrials,Construction,Construction,Civil Construction
PRESTIGE,NSE,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
LANDMARK,NSE,Consumer Discretionary,Automobile and Auto Components,Automobiles,Auto Dealer
WELCORP,NSE,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
VGUARD,NSE,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
PNB,NSE,Financial Services,Financial Services,Banks,Public Sector Bank
ARVSMART,NSE,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
JKPAPER,NSE,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
RAILTEL,NSE,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services
NGLFINE,NSE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
COSMOFIRST,NSE,Industrials,Capital Goods,Industrial Products,Packaging
TATAELXSI,NSE,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
HESTERBIO,NSE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
UGROCAP,NSE,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
AMIORG,NSE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
BSE,NSE,Financial Services,Financial Services,Capital Markets,Exchange and Data Platform
LALPATHLAB,NSE,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider
MASFIN,NSE,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
DRREDDY,NSE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
MUTHOOTFIN,NSE,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
MALLCOM,NSE,Industrials,Capital Goods,Industrial Products,Other Industrial Products
EIDPARRY,NSE,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
